linguagem,caso,tamanho,rodadas,media_ms,desvio_padrao_ms
Python,melhor,100,30,0.040343,0.009717
Python,medio,100,30,0.051723,0.004462
Python,pior,100,30,0.361187,0.035525
Python,melhor,1000,30,0.643863,0.011291
Python,medio,1000,30,0.979733,0.232886
Python,pior,1000,30,37.844777,1.124157
Python,melhor,3000,30,2.378267,0.112871
Python,medio,3000,30,3.219307,0.235365
Python,pior,3000,30,352.578220,9.665588
C,melhor,100,30,0.001833,0.000130
C,medio,100,30,0.006463,0.006439
C,pior,100,30,0.021747,0.000411
C,melhor,1000,30,0.027297,0.000234
C,medio,1000,30,0.070773,0.001708
C,pior,1000,30,2.507270,0.497418
C,melhor,3000,30,0.114330,0.006240
C,medio,3000,30,0.289300,0.010202
C,pior,3000,30,21.690007,0.795643
